idx,treespec,prod_wd,bark,Country,2021 ,2018 ,2015 ,2012 ,2009 ,2006 ,2003 ,2000 ,1997 ,1994 ,1991 ,1988 
"A,CONIF,RW,THS_M3,UNBK,ES",CONIF,RW,UNBK,ES,8014.89,9929.26,9079.36,,5928.58,8025.0,8975.0,8114.0,8154.0,8511.0,,
"A,CONIF,RW,THS_M3,UNBK,EU27_2020",CONIF,RW,UNBK,EU27_2020,,,294658.46,267696.56,254475.27,279932.18,271240.94,273708.71,,,,
"A,CONIF,RW,THS_M3,UNBK,FI",CONIF,RW,UNBK,FI,52925.99,54179.69,46871.07,41645.51,32651.35,42199.89,45531.42,46002.93,43548.0,40874.0,,
"A,CONIF,RW,THS_M3,UNBK,FR",CONIF,RW,UNBK,FR,20944.0,19342.44,19029.07,19193.48,23455.31,21440.55,20488.69,28944.07,20251.61,20387.08,20281.92,19228.13
"A,CONIF,RW,THS_M3,UNBK,HR",CONIF,RW,UNBK,HR,791.16,1059.03,837.88,1012.0,621.0,751.0,532.0,546.0,421.0,374.0,,
"A,CONIF,RW,THS_M3,UNBK,HU",CONIF,RW,UNBK,HU,967.68,925.0,948.74,844.62,720.5,802.0,678.0,696.3,556.0,504.0,,
"A,CONIF,RW,THS_M3,UNBK,IE",CONIF,RW,UNBK,IE,,,2807.26,2474.75,2345.83,2654.0,2643.25,2631.2,2129.0,1976.0,,
"A,CONIF,RW,THS_M3,UNBK,IS",CONIF,RW,UNBK,IS,1.7,2.0,,3.34,,0.0,0.0,0.0,0.0,0.0,,
"A,CONIF,RW,THS_M3,UNBK,IT",CONIF,RW,UNBK,IT,,2231.29,1947.81,,1987.14,1873.05,1457.0,1719.0,1385.0,1602.0,,
"A,CONIF,RW,THS_M3,UNBK,LI",CONIF,RW,UNBK,LI,3.99,9.51,5.41,12.0,13.0,17.5,,,9.0,21.0,,
"A,CONIF,RW,THS_M3,UNBK,LT",CONIF,RW,UNBK,LT,3713.0,3689.0,3452.0,3642.0,2734.55,2980.0,3570.0,2880.0,3140.0,2977.0,,
"A,CONIF,RW,THS_M3,UNBK,LU",CONIF,RW,UNBK,LU,198.59,284.03,,,116.81,139.9,127.9,121.4,,,,
"A,CONIF,RW,THS_M3,UNBK,LV",CONIF,RW,UNBK,LV,8976.0,8309.52,8245.74,6509.34,7436.99,8501.3,7008.82,9618.0,5420.0,2800.0,,
"A,CONIF,RW,THS_M3,UNBK,MT",CONIF,RW,UNBK,MT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"A,CONIF,RW,THS_M3,UNBK,NL",CONIF,RW,UNBK,NL,505.87,590.6,690.0,493.9,538.77,649.72,594.0,645.0,694.0,601.0,,
"A,CONIF,RW,THS_M3,UNBK,NO",CONIF,RW,UNBK,NO,11766.81,11175.81,10610.29,9300.3,7290.32,8063.85,7450.0,7601.87,8145.0,8166.0,,
